"RingNumber","ExpScore","Sequence","Sex","TimeAfterSunrise","Species","BroodID","SubplotYear"
"C5H8207",83,1,-0.5,10.5833333333333,1,2786,"D22024"
"C5H8208",79,1,0.5,3.4,1,2790,"D22024"
"C5H8210",83,1,0.5,3.76666666666667,1,2760,"D22024"
"C5H8220",90,1,-0.5,7.63333333333333,1,2602,"F12024"
"C5H8239",35,1,-0.5,5.25,1,2473,"C12024"
"C5H8342",68,1,0.5,3.11666666666667,1,2623,"F22024"
"C5H8347",62,1,0.5,4.1,1,1880,"A22023"
"C5H8348",56,1,-0.5,6.65,1,1897,"A22023"
"C5H8366",83,1,-0.5,3.11666666666667,1,1890,"A22023"
"C5H8386",4,2,-0.5,4.53333333333333,1,2642,"F22024"
"C5H8386",63,1,-0.5,3.68333333333333,1,2306,"F22023"
"C5H8402",96,1,0.5,8.11666666666667,1,2217,"E22023"
"C5H8432",69,1,-0.5,3.13333333333333,1,2214,"E22023"
"C5H8433",61,1,0.5,3.8,1,2214,"E22023"
"C5H8446",77,1,-0.5,3.23333333333333,1,2231,"F12023"
"C5H8446",42,2,-0.5,3.76666666666667,1,2580,"F12024"
"CS87056",53,1,-0.5,3.75,1,2125,"D22023"
"CS87061",108,2,-0.5,4.21666666666667,1,2545,"B22024"
"CS87061",99,1,-0.5,4.48333333333333,1,1933,"B22023"
"CS87091",51,1,0.5,6.51666666666667,1,2261,"F22023"
"CS87131",36,1,0.5,7.95,1,2181,"E22023"
"CS87156",46,1,0.5,5.61666666666667,1,2185,"E22023"
"CS87432",64,3,-0.5,2.26666666666667,1,2540,"B12024"
"CS87432",78,1,-0.5,2.2,1,1418,"B22022"
"CS87432",69,2,-0.5,3.7,1,1941,"B12023"
"CS87446",70,1,0.5,2.5,1,2252,"F12023"
"CS87446",71,2,0.5,7.31666666666667,1,2600,"F12024"
"CS87448",57,1,-0.5,4.73333333333333,1,2077,"D12023"
"CS87455",71,1,0.5,5.13333333333333,1,1815,"A12023"
"CS87457",53,1,0.5,3.38333333333333,1,2220,"E22023"
"CS87466",70,1,0.5,2.78333333333333,1,1821,"A12023"
"CS87493",71,1,0.5,10.7833333333333,1,1813,"A12023"
"CS87499",44,4,0.5,5.05,1,3130,"F12025"
"CS87499",63,3,0.5,7.31666666666667,1,2602,"F12024"
"CS87499",42,2,0.5,8.86666666666667,1,2239,"F12023"
"CS87499",61,1,0.5,4.21666666666667,1,1700,"F12022"
"CS87503",33,3,-0.5,7.93333333333333,1,3026,"E12025"
"CS87503",42,1,-0.5,3.56666666666667,1,1839,"A12023"
"CS87503",15,2,-0.5,4.61666666666667,1,2358,"A12024"
"CS87512",58,2,-0.5,3.81666666666667,1,2457,"C12024"
"CS87512",24,1,-0.5,3.7,1,2016,"C12023"
"CS87527",53,2,0.5,4,1,2302,"F22023"
"CS87527",50,1,0.5,6,1,1743,"F22022"
"CS87527",23,3,0.5,3.66666666666667,1,2621,"F22024"
"CS87545",73,1,0.5,2.76666666666667,1,1779,"E22022"
"CS87563",51,1,-0.5,2.55,1,1708,"F12022"
"CS87563",46,2,-0.5,3.36666666666667,1,2296,"F22023"
"CS87569",59,2,0.5,3.4,1,2401,"A22024"
"CS87569",50,1,0.5,4.66666666666667,1,1871,"A22023"
"CS87582",34,1,-0.5,5.25,1,2442,"C12024"
"CS87586",61,1,-0.5,4.6,1,2491,"B12024"
"CS87902",3,3,-0.5,5.15,1,2433,"C12024"
"CS87902",64,1,-0.5,7.95,1,1454,"C12022"
"CS87902",106,2,-0.5,4.08333333333333,1,2000,"C12023"
"CS87925",82,2,-0.5,5.46666666666667,1,2608,"F22024"
"CS87925",85,1,-0.5,7.25,1,2274,"F22023"
"CS87928",38,1,0.5,3.86666666666667,1,1346,"A22022"
"CS87928",62,2,0.5,8.98333333333333,1,1886,"A22023"
"CS87929",32,1,-0.5,4.25,1,1346,"A22022"
"CS87929",64,2,-0.5,9.71666666666667,1,1886,"A22023"
"CS87948",94,1,-0.5,3.1,1,1746,"F22022"
"CS87970",89,2,0.5,5.7,1,2187,"E22023"
"CS87970",63,1,0.5,2.76666666666667,1,1634,"E12022"
"CS87979",79,1,0.5,2.41666666666667,1,1317,"A12022"
