"BroodID","year","weight","brood_size","TimeAfterSunrise","Doublebox","Species","TreatmentB","TreatmentG","Ha","Type","SPY","Subplot"
1964,2023,10.7,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.33,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.46,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.2,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,8.27,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,7.95,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.59,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.7,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,9.5,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1964,2023,8.74,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
1966,2023,18.38,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,19.25,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,18.25,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,20.05,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,18.02,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,18.15,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,18.64,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,17.91,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1966,2023,16.98,9,12.6,0,"G",0,0,5.98,"chick2","B12023","B1"
1983,2023,12,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,13.96,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,14.21,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,12.69,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,13.8,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,14.88,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,14.4,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,16.19,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1983,2023,14.58,9,3.08333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,18.3,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,16.93,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,17.86,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,17.86,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,17.34,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1984,2023,17.36,6,6.53333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
1986,2023,8.46,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.92,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.44,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.07,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.17,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.47,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,7.76,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,8.45,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,7.95,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,8.24,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1986,2023,9.31,11,5.68333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
1987,2023,16.3,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,15.47,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,16.71,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,15.22,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,16.57,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,15.43,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,15.42,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1987,2023,16.57,8,11.55,1,"G",1,1,5.08,"chick2","C12023","C1"
1996,2023,18.7,3,6.9,1,"G",1,1,5.08,"chick2","C12023","C1"
1996,2023,18.67,3,6.9,1,"G",1,1,5.08,"chick2","C12023","C1"
1996,2023,18.13,3,6.9,1,"G",1,1,5.08,"chick2","C12023","C1"
1998,2023,9.14,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,10.22,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,9.06,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,8.99,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,9.44,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,9.35,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,9.74,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
1998,2023,10.31,8,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2000,2023,13.08,6,4.46666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2000,2023,11.06,6,4.43333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
2000,2023,10.03,6,4.4,1,"G",1,1,5.08,"chick2","C12023","C1"
2000,2023,12.06,6,4.51666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2000,2023,11.9,6,4.31666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2000,2023,10.01,6,4.35,1,"G",1,1,5.08,"chick2","C12023","C1"
2008,2023,9.25,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,11.54,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,9.36,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,10.11,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,11.08,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,11.36,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,10.8,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,10.64,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,10.45,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2008,2023,10.37,10,7.31666666666667,0,"B",1,1,5.08,"chick2","C12023","C1"
2009,2023,16.34,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2009,2023,16.37,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2009,2023,16.81,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2009,2023,16.38,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2009,2023,15.85,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2009,2023,15.57,6,6.86666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,13.77,8,7.13333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,12.24,8,6.66666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,18.18,8,6.66666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,9.66,8,7.13333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,12.56,8,7.13333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,12.26,8,6.66666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,13.13,8,6.66666666666667,1,"G",1,1,5.08,"chick2","C12023","C1"
2011,2023,12.01,8,7.13333333333333,1,"G",1,1,5.08,"chick2","C12023","C1"
2015,2023,10.49,7,5.43333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2015,2023,10.6,7,5.78333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
