"","BroodID","RingNumber","year","Species","Type","Sex","nSamples","AdateSample","timeSample","tube_ID","lab_ID","ClutchNumber","SubplotYear","TreatmentB","TreatmentG","Doublebox","ExpScore","TimeAfterSunrise","Sequence","WithinNestRep"
"564",2755,NA,2024,1,"chick1",2,2,43,"09:12","D_33_3","ND_1123",1,"D12024",1,0,0,NA,NA,NA,"2755_chick1"
"565",2100,NA,2023,1,"chick2",2,2,60,"09:28","D_33_4A","ND_0535",1,"D12023",0,0,0,NA,NA,NA,"2100_chick2"
"566",2101,NA,2023,2,"chick1",2,1,55,"14:05","D_34_3","ND_0278",1,"D12023",0,0,0,NA,NA,NA,"2101_chick1"
"567",2101,"B5K0223",2023,2,"AF",0,1,56,"09:30","D_34_2","ND_0247",1,"D12023",0,0,0,65,4.11666666666667,1,"2101_AF"
"568",2756,"B5K0030",2024,2,"AM",1,1,42,"13:29","D_34_1","ND_0985",1,"D12024",1,0,0,36,7.85,1,"2756_AM"
"569",2102,"C5A0904",2023,1,"AM",1,1,66,"11:14","D_35_1","ND_0822",1,"D12023",0,0,0,30,5.96666666666667,4,"2102_AM"
"570",2102,NA,2023,1,"chick1",2,2,67,"12:49","D_35_3","ND_0790",1,"D12023",0,0,0,NA,NA,NA,"2102_chick1"
"571",2757,NA,2024,1,"chick1",2,3,44,"11:27","D_35_3","ND_1101",1,"D12024",1,0,0,NA,NA,NA,"2757_chick1"
"572",2103,"C3M0319",2023,1,"AM",1,1,69,"13:37","D_36_1","ND_0723",1,"D22023",0,1,0,51,8.38333333333333,1,"2103_AM"
"573",2103,"C3F7376",2023,1,"AF",0,1,69,"12:55","D_36_2","ND_0703",1,"D22023",0,1,0,105,7.68333333333333,1,"2103_AF"
"574",2105,"C5H7115",2023,1,"AF",0,1,50,"11:30","D_38_2","ND_0079",1,"D22023",0,1,0,79,6.01666666666667,1,"2105_AF"
"575",2760,"C5H7115",2024,1,"AF",0,1,36,"08:56","D_38_2","ND_0881",1,"D22024",0,1,0,86,3.15,2,"2760_AF"
"576",2760,NA,2024,1,"chick2",2,1,40,"15:05","D_38_4B","ND_0997",1,"D22024",0,1,0,NA,NA,NA,"2760_chick2"
"577",2760,NA,2024,1,"chick1",2,2,36,"11:42","D_38_3","ND_0888",1,"D22024",0,1,0,NA,NA,NA,"2760_chick1"
"578",2105,NA,2023,1,"chick2",2,2,53,"09:48","D_38_4B","ND_0181",1,"D22023",0,1,0,NA,NA,NA,"2105_chick2"
"579",2105,"C3F7854",2023,1,"AM",1,1,50,"10:58","D_38_1","ND_0078",1,"D22023",0,1,0,70,5.48333333333333,2,"2105_AM"
"580",2760,NA,2024,1,"chick2",2,1,40,"15:05","D_38_4A","ND_0987",1,"D22024",0,1,0,NA,NA,NA,"2760_chick2"
"581",2760,"C5H8210",2024,1,"AM",1,1,36,"09:33","D_38_1","ND_0883",1,"D22024",0,1,0,83,3.76666666666667,1,"2760_AM"
"582",2105,NA,2023,1,"chick1",2,1,50,"12:36","D_38_3","ND_0077",1,"D22023",0,1,0,NA,NA,NA,"2105_chick1"
"583",2106,NA,2023,2,"chick2",2,1,62,"13:41","D_39_4","ND_0672",1,"D22023",0,1,0,NA,NA,NA,"2106_chick2"
"584",2761,NA,2024,2,"chick2",2,1,40,"16:00","D_39_4B","ND_1005",1,"D22024",0,1,0,NA,NA,NA,"2761_chick2"
"585",2761,NA,2024,2,"chick2",2,1,40,"16:00","D_39_4A","ND_0931",1,"D22024",0,1,0,NA,NA,NA,"2761_chick2"
"586",2106,NA,2023,2,"chick1",2,1,57,"10:07","D_39_3","ND_0427",1,"D22023",0,1,0,NA,NA,NA,"2106_chick1"
"587",2106,"B5K0553",2023,2,"AF",0,1,60,"08:46","D_39_2","ND_0505",1,"D22023",0,1,0,35,3.43333333333333,1,"2106_AF"
"588",2107,NA,2023,2,"chick1",2,2,59,"16:21","D_40_3","ND_0613",1,"D22023",0,1,0,NA,NA,NA,"2107_chick1"
"589",2762,NA,2024,1,"chick1",2,1,38,"13:03","D_40_3","ND_1148",1,"D22024",0,1,0,NA,NA,NA,"2762_chick1"
